"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"Fe"	"I"	217.684	0.12126572	5.81508605	1e+07	1	3
"Fe"	"II"	217.703	2.34166141	8.0349812	1.9e+07	2	2
"Fe"	"II"	217.726	7.5391368	13.2318648	8e+06	10	10
"Fe"	"II"	217.749	7.5576776	13.2497908	1.3e+07	8	6
"Fe"	"II"	217.984	7.9400585	13.6260522	5800000	8	8
"Fe"	"II"	217.988	7.8041909	13.4900649	1.1e+07	8	8
"Fe"	"II"	218.082	7.5576776	13.2411006	1500000	8	6
"Fe"	"II"	218.153	7.5682105	13.2497908	6e+06	6	6
"Fe"	"II"	218.223	7.5576776	13.2374489	6200000	8	8
"Fe"	"II"	218.236	4.76830747	10.4477261	8600000	10	8
"Fe"	"II"	218.249	7.5682105	13.2472961	8e+06	6	4
"Fe"	"II"	218.37	7.9704921	13.6464158	9e+07	8	6
"Fe"	"II"	218.383	3.38661825	9.0622072	8e+06	8	10
"Fe"	"II"	218.399	7.574617	13.2497908	1500000	6	6
"Fe"	"II"	218.495	7.574617	13.2472961	9e+06	6	4
"Fe"	"II"	218.677	6.2169162	11.8849108	6e+06	6	4
"Fe"	"II"	218.684	2.02954815	7.6973256	1200000	8	10
"Fe"	"II"	218.702	7.5824802	13.2497908	2300000	8	6
"Fe"	"II"	218.73	4.7317602	10.3983625	1.7e+07	6	6
"Fe"	"II"	218.744	3.38661825	9.052853	9e+06	8	8
"Fe"	"II"	218.769	2.02954815	7.6951447	2900000	8	8
"Fe"	"II"	218.786	2.64185518	8.307007	3e+06	4	6
"Fe"	"II"	218.903	1.96448604	7.6265941	1970000	10	10
"Fe"	"II"	219.038	7.5824802	13.2411006	2400000	8	6
"Fe"	"I"	219.12	0.12126572	5.77776507	7300000	1	3
"Fe"	"I"	219.184	0.08728574	5.74214676	1.2e+08	5	5
"Fe"	"II"	219.198	4.79323577	10.4477261	75400000	8	8
"Fe"	"II"	219.295	7.8448498	13.4968562	4200000	6	4
"Fe"	"II"	219.396	4.8178982	10.4672943	3700000	6	4
"Fe"	"I"	219.604	0.11011433	5.75415389	1.2e+08	3	3
"Fe"	"II"	219.73	6.8072583	12.448073	1.1e+07	8	6
"Fe"	"II"	219.866	4.8178982	10.4552114	8e+07	6	6
"Fe"	"II"	219.886	7.6042922	13.2411006	1e+07	4	6
"Fe"	"II"	220.028	3.42449356	9.0576548	1.5e+07	6	6
"Fe"	"I"	220.039	0.12126572	5.75415389	8.9e+07	1	3
"Fe"	"I"	220.072	0.11011433	5.74214676	2.8e+07	3	5
"Fe"	"II"	220.085	7.3973238	13.0290363	4100000	4	2
"Fe"	"II"	220.097	7.8041909	13.4355903	6100000	8	8
"Fe"	"II"	220.118	7.7725538	13.4034281	1.7e+07	6	4
